#,Series,Division,Match Type,Date,Time,Team One,Team Two,Ground
213,Leather Ball 2026,Elite White Ball Division II,League,05/09/2026,08:30,Stars,Warriors,"James Park, Evanston"
214,Leather Ball 2026,Elite White Ball Division II,League,05/09/2026,08:30,Black Caps,Kings,Vernon Hills
215,Leather Ball 2026,RedBall Premier,League,05/10/2026,15:30,Midwest CC,Streamwood Cricket Club,Tigers Park
216,Leather Ball 2026,RedBall Premier,League,05/10/2026,15:30,Club Cricket of Chicago,Deccan Mavericks,Gurnee
217,Leather Ball 2026,RedBall Premier,League,05/10/2026,15:30,Milwaukee Panthers,SBCC Slayers,Naperville East
218,Leather Ball 2026,RedBall Premier,League,05/10/2026,15:30,Cardinals United,Rovers,Plainfield Northwest
219,Leather Ball 2026,Elite White Ball Division II,League,05/10/2026,15:30,CYCA Underdogs,South Barrington Cricket Club,Plainfield Grande Park old
220,Leather Ball 2026,Elite White Ball Division II,League,05/10/2026,15:30,AAA,Chicago Warriors,balstrod b.brook
221,Leather Ball 2026,Elite White Ball Division II,League,05/10/2026,15:30,Midwest Vipers,Wildcats,WP 1
222,Leather Ball 2026,RedBall Division II,League,05/10/2026,15:30,Black Caps,Midwest Blizzards,WP 2
223,Leather Ball 2026,Blast T20,League,05/10/2026,15:30,Chicago Saifee Warriors,The Underdawg XI,Hanover Park
224,Leather Ball 2026,Blast T20,League,05/10/2026,12:00,DeePark Dynamites,Midwest Bison,Gurnee
225,Leather Ball 2026,Blast T20,League,05/10/2026,12:00,Challengers,Chicago Saifee Warriors,Hanover Park
226,Leather Ball 2026,RedBall Premier,League,05/10/2026,08:30,CYCA Elite,Streamwood Cricket Club,Tigers Park
227,Leather Ball 2026,RedBall Premier,League,05/10/2026,08:30,Challengers,Midwest CC,Gurnee
228,Leather Ball 2026,RedBall Premier,League,05/10/2026,08:30,Cardinals United,Deccan Mavericks,Naperville East
229,Leather Ball 2026,RedBall Premier,League,05/10/2026,08:30,Club Cricket of Chicago,SBCC Slayers,Plainfield Northwest
230,Leather Ball 2026,RedBall Premier,League,05/10/2026,08:30,Milwaukee Panthers,Rovers,Plainfield Grande Park old
231,Leather Ball 2026,Elite White Ball Division II,League,05/10/2026,08:30,AAA,Warriors,balstrod b.brook
232,Leather Ball 2026,RedBall Division II,League,05/10/2026,08:30,Chicago Warriors,CYCA Underdogs,WP 1
233,Leather Ball 2026,RedBall Division II,League,05/10/2026,08:30,Chicago Tigers,DMavs Stallions,WP 2
234,Leather Ball 2026,Blast T20,League,05/10/2026,08:30,Brothers XI,DeePark Dynamites,Hanover Park
235,Leather Ball 2026,RedBall Division II,League,05/10/2026,08:30,Black Caps,Evanston CC,"James Park, Evanston"
236,Leather Ball 2026,Elite White Ball Division II,League,05/10/2026,08:30,Hawks,South Barrington Cricket Club,Vernon Hills
237,Leather Ball 2026,Yash Premier League,League,05/16/2026,15:30,Anjuman,Panthers,Tigers Park
238,Leather Ball 2026,Yash Premier League,League,05/16/2026,15:30,Evanston CC,Pak Gymkhana,Gurnee
